view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,key_press,success_time,board_size,board_set,board_no,success,completed
NULL,1615,survey-multi-choice,4,28463,0.0-5.0,"{"Q0":"Undergraduate degree (e.g., BA)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2247,survey-text,5,30711,0.0-6.0-0.0,"{"Q0":"jhm"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1647,survey-multi-choice,6,32359,0.0-9.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1527,survey-multi-choice,7,33887,0.0-10.0,"{"Q0":"Undergraduate degree (e.g., BA)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1455,survey-multi-choice,8,35343,0.0-11.0,"{"Q0":"Lower middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1639,survey-multi-choice,9,36983,0.0-12.0,"{"Q0":"Lower middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2032,survey-text,10,39015,0.0-13.0,"{"Q0":"hjm"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2071,survey-multi-choice,11,41087,0.0-14.0,"{"Q0":"26 - 35 years of age"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,call-function,12,41088,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":1951},{"page_index":1,"viewing_time":1416},{"page_index":2,"viewing_time":1136},{"page_index":3,"viewing_time":880},{"page_index":4,"viewing_time":664},{"page_index":5,"viewing_time":904},{"page_index":6,"viewing_time":2320}]",9271,instructions,13,50359,0.0-16.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,1818,html-keyboard-response,14,52178,0.0-16.0-1.0,NULL,"Are you ready to solve a practice Sudoku? <br><br> Yes, I am ready! (Press C) <br><br> Not yet, I would like to read the rules once again, please! (Press R)",67,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,15,85265,0.0-17.0,NULL,NULL,NULL,33082,boards2x3,d,0,1,1
"[{"page_index":0,"viewing_time":4622}]",4622,instructions,16,89887,0.0-18.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,17,142016,0.0-19.0,NULL,NULL,NULL,52128,boards2x3,b,0,1,1
NULL,NULL,sudoku_trial,18,185720,0.0-20.0,NULL,NULL,NULL,43703,boards2x3,c,1,1,1
NULL,NULL,sudoku_trial,19,230887,0.0-21.0,NULL,NULL,NULL,45167,boards2x3,b,4,1,1
NULL,NULL,sudoku_trial,20,297335,0.0-22.0,NULL,NULL,NULL,66446,boards2x3,a,3,1,1
NULL,NULL,sudoku_trial,21,343839,0.0-23.0,NULL,NULL,NULL,46503,boards2x3,b,2,1,1
NULL,NULL,sudoku_trial,22,393231,0.0-24.0,NULL,NULL,NULL,49392,boards2x3,c,3,1,1
"[{"page_index":0,"viewing_time":1448},{"page_index":1,"viewing_time":2800}]",4248,instructions,23,397479,0.0-25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":10088}]",10088,instructions,24,407567,0.0-26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":1239},{"page_index":1,"viewing_time":939},{"page_index":2,"viewing_time":979},{"page_index":3,"viewing_time":617}]",3775,instructions,0,3776,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2095,survey-multi-choice,1,5874,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":785},{"page_index":1,"viewing_time":842}]",1627,instructions,2,7501,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3455,survey-multi-choice,3,10957,0.0-3.0,"{"Q0":"Yes, I solved Sudoku once or twice"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2011,survey-multi-choice,4,12970,0.0-5.0,"{"Q0":"Undergraduate degree (e.g., BA)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,4903,survey-text,5,17874,0.0-6.0-0.0,"{"Q0":"engineering"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2683,survey-multi-choice,6,20559,0.0-9.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2282,survey-multi-choice,7,22843,0.0-10.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3658,survey-multi-choice,8,26503,0.0-11.0,"{"Q0":"Lower middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1739,survey-multi-choice,9,28243,0.0-12.0,"{"Q0":"Lower middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,4008,survey-text,10,32251,0.0-13.0,"{"Q0":"male"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1863,survey-multi-choice,11,34115,0.0-14.0,"{"Q0":"18 - 25 years of age"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":2196},{"page_index":1,"viewing_time":3195},{"page_index":2,"viewing_time":1941},{"page_index":3,"viewing_time":1206}]",8540,instructions,0,8546,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3366,survey-multi-choice,1,11928,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":3437},{"page_index":1,"viewing_time":1848}]",5287,instructions,2,17216,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3139,survey-multi-choice,3,20369,0.0-3.0,"{"Q0":"Yes, I solved Sudoku once or twice"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2039,survey-multi-choice,4,22416,0.0-5.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1964,survey-multi-choice,5,24388,0.0-7.0-0.0,"{"Q0":"No, I am not a student"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1975,survey-multi-choice,6,26371,0.0-9.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1513,survey-multi-choice,7,27893,0.0-10.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2193,survey-multi-choice,8,30098,0.0-11.0,"{"Q0":"Lower middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3972,survey-multi-choice,9,34078,0.0-12.0,"{"Q0":"Skilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,5389,survey-text,10,39472,0.0-13.0,"{"Q0":"Female"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1866,survey-multi-choice,11,41345,0.0-14.0,"{"Q0":"36 - 45 years of age"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":1918},{"page_index":1,"viewing_time":2295},{"page_index":2,"viewing_time":1207},{"page_index":3,"viewing_time":896}]",6316,instructions,0,6316,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2616,survey-multi-choice,1,8935,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":3701},{"page_index":1,"viewing_time":2935}]",6636,instructions,2,15573,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3399,survey-multi-choice,3,18975,0.0-3.0,"{"Q0":"Yes, I solve Sudoku occasionally"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1542,survey-multi-choice,4,20519,0.0-4.0-0.0,"{"Q0":"Average"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1914,survey-multi-choice,5,22434,0.0-5.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1424,survey-multi-choice,6,23861,0.0-7.0-0.0,"{"Q0":"No, I am not a student"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2204,survey-multi-choice,7,26067,0.0-9.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1446,survey-multi-choice,8,27514,0.0-10.0,"{"Q0":"Less than four years of high school"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,6369,survey-multi-choice,9,33885,0.0-11.0,"{"Q0":"Skilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1984,survey-multi-choice,10,35871,0.0-12.0,"{"Q0":"Lower middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2981,survey-text,11,38854,0.0-13.0,"{"Q0":"Female"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1249,survey-multi-choice,12,40104,0.0-14.0,"{"Q0":"26 - 35 years of age"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":1816},{"page_index":1,"viewing_time":1939},{"page_index":2,"viewing_time":1176},{"page_index":3,"viewing_time":1242}]",6174,instructions,0,6174,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2904,survey-multi-choice,1,9082,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":1441},{"page_index":1,"viewing_time":947}]",2388,instructions,2,11470,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,4306,survey-multi-choice,3,15778,0.0-3.0,"{"Q0":"Yes, I solve Sudoku occasionally"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,4131,survey-multi-choice,4,19913,0.0-4.0-0.0,"{"Q0":"Average"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2546,survey-multi-choice,5,22460,0.0-5.0,"{"Q0":"Undergraduate degree (e.g., BA)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,5769,survey-text,6,28231,0.0-6.0-0.0,"{"Q0":"math"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3019,survey-multi-choice,7,31252,0.0-9.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2311,survey-multi-choice,8,33565,0.0-10.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
