view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,key_press,success_time,board_size,board_set,board_no,success,completed
NULL,NULL,sudoku_trial,16,46258,0.0-17.0,NULL,NULL,NULL,NULL,boards2x3,d,0,,1
"[{"page_index":0,"viewing_time":1395}]",1395,instructions,17,47654,0.0-18.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,18,49740,0.0-19.0,NULL,NULL,NULL,NULL,boards2x3,c,1,,1
NULL,NULL,sudoku_trial,19,51667,0.0-20.0,NULL,NULL,NULL,NULL,boards2x3,a,3,,1
NULL,NULL,sudoku_trial,20,53392,0.0-21.0,NULL,NULL,NULL,NULL,boards2x3,b,0,,1
NULL,NULL,sudoku_trial,21,55320,0.0-22.0,NULL,NULL,NULL,NULL,boards2x3,b,4,,1
NULL,NULL,sudoku_trial,22,57687,0.0-23.0,NULL,NULL,NULL,NULL,boards2x3,c,3,,1
NULL,NULL,sudoku_trial,23,59458,0.0-24.0,NULL,NULL,NULL,NULL,boards2x3,b,2,,1
"[{"page_index":0,"viewing_time":2120},{"page_index":1,"viewing_time":952}]",3072,instructions,24,62530,0.0-25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":664}]",664,instructions,25,63194,0.0-26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":1885},{"page_index":1,"viewing_time":18136},{"page_index":2,"viewing_time":592},{"page_index":3,"viewing_time":672}]",21285,instructions,0,21286,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1694,survey-multi-choice,1,22983,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":615},{"page_index":1,"viewing_time":912}]",1528,instructions,2,24511,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2710,survey-multi-choice,3,27223,0.0-3.0,"{"Q0":"Yes, I solve Sudoku regularly"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,597,survey-multi-choice,4,27823,0.0-4.0-0.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1110,survey-multi-choice,5,28935,0.0-5.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
